City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rikitea,PF,76.33,overcast clouds,-23.1203,-134.9692,People ThankYou
7,Cabo San Lucas,MX,83.52,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
8,Apac,UG,79.23,overcast clouds,1.9756,32.5386,Double Duez Apac
11,Vaini,TO,80.06,light rain,-21.2,-175.2,Keleti Beach Resort
18,Puerto Escondido,MX,85.03,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
21,Manggar,ID,78.13,overcast clouds,-2.8833,108.2667,Guest Hotel
22,Puerto Ayora,EC,85.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
25,Arraial Do Cabo,BR,85.96,thunderstorm,-22.9661,-42.0278,Pousada Porto Praia
26,Butaritari,KI,81.91,light rain,3.0707,172.7902,Isles Sunset Lodge
27,Sao Jose Da Coroa Grande,BR,81.7,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
28,San Andres,CO,82.42,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
30,Hilo,US,77.25,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
32,Benguela,AO,77.4,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
33,Bubaque,GW,78.17,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
40,Saint-Philippe,RE,80.19,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
43,Mahebourg,MU,80.89,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
44,Bambous Virieux,MU,80.85,light rain,-20.3428,57.7575,Casa Tia Villa
50,East London,ZA,75.04,overcast clouds,-33.0153,27.9116,Tu Casa
54,Atuona,PF,77.85,few clouds,-9.8,-139.0333,Villa Enata
57,Georgetown,MY,82.89,few clouds,5.4112,100.3354,Cititel Penang
58,Kavieng,PG,81.03,broken clouds,-2.5744,150.7967,Nusa Island Retreat
62,Lorengau,PG,79.09,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
63,Majene,ID,77.47,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
64,Tiarei,PF,80.62,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
65,Port Elizabeth,ZA,75.09,few clouds,-33.918,25.5701,39 On Nile Guest House
71,Tual,ID,83.88,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
74,Vallenar,CL,81.32,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
78,Grand-Santi,GF,81.95,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
86,Bandarbeyla,SO,75.67,broken clouds,9.4942,50.8122,JABIR HOTEL
87,Kapaa,US,75.47,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
89,Soyo,AO,79.27,light rain,-6.1349,12.3689,Hotel Mpampa
100,Bengkulu,ID,75.76,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
107,Atar,MR,82.06,overcast clouds,20.5169,-13.0499,Oumou Elghoura
139,Gizo,SB,82.02,light rain,-8.103,156.8419,Imagination Island
146,Nicoya,CR,87.35,clear sky,10.1483,-85.452,Las Cabinas Del Sueño
147,Nisia Floresta,BR,86.81,few clouds,-6.0911,-35.2086,Rancho Crepusculo
154,Mahibadhoo,MV,82.24,overcast clouds,3.7833,72.9667,Omadhoo Inn
159,Dondo,MZ,78.31,scattered clouds,-19.6094,34.7431,Arco Iris
164,Hithadhoo,MV,81.61,overcast clouds,-0.6,73.0833,Scoop Guest House
165,Sechura,PE,80.85,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
177,Chuy,UY,78.87,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
