City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,76.33,63,97,4.09,overcast clouds
1,Barrow,US,71.2906,-156.7887,-11.18,77,40,10.36,scattered clouds
2,Faya,SA,18.3851,42.4509,57.31,81,14,5.03,few clouds
3,Hobart,AU,-42.8794,147.3294,58.05,94,75,1.01,broken clouds
4,Tuktoyaktuk,CA,69.4541,-133.0374,-2.2,84,100,19.57,light snow
5,Port Hardy,CA,50.6996,-127.4199,41.76,100,100,10.36,light rain
6,Jiutai,CN,44.1525,125.8328,-3.66,97,5,1.14,clear sky
7,Cabo San Lucas,MX,22.8909,-109.9124,83.52,66,20,5.75,few clouds
8,Apac,UG,1.9756,32.5386,79.23,35,99,2.35,overcast clouds
9,Kamaishi,JP,39.2667,141.8833,24.64,60,18,7.4,few clouds
10,Hamilton,US,39.1834,-84.5333,40.62,55,0,1.99,clear sky
11,Vaini,TO,-21.2,-175.2,80.06,78,100,11.12,light rain
12,Saint-Gabriel,CA,46.3001,-73.3824,17.83,67,100,8.93,overcast clouds
13,Dongsheng,CN,39.8161,109.9776,8.4,45,0,18.61,clear sky
14,Ribeira Grande,PT,38.5167,-28.7,59.4,58,40,20.71,scattered clouds
15,Ushuaia,AR,-54.8,-68.3,47.86,71,75,29.93,light intensity drizzle
16,Tasiilaq,GL,65.6145,-37.6368,8.76,37,94,22.75,overcast clouds
17,Tripoli,LY,32.8752,13.1875,54.9,70,5,11.3,clear sky
18,Puerto Escondido,MX,15.85,-97.0667,85.03,70,0,6.91,clear sky
19,Nabire,ID,-3.3667,135.4833,73.9,90,99,3.49,overcast clouds
20,Yellowknife,CA,62.456,-114.3525,-9.58,95,100,6.91,light snow
21,Manggar,ID,-2.8833,108.2667,78.13,80,100,5.48,overcast clouds
22,Puerto Ayora,EC,-0.7393,-90.3518,85.96,71,100,9.19,overcast clouds
23,Luderitz,NA,-26.6481,15.1594,68.14,81,88,3.6,overcast clouds
24,Port Lincoln,AU,-34.7333,135.8667,65.75,86,2,8.57,clear sky
25,Arraial Do Cabo,BR,-22.9661,-42.0278,85.96,70,40,11.5,thunderstorm
26,Butaritari,KI,3.0707,172.7902,81.91,76,55,22.1,light rain
27,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,81.7,74,100,9.1,overcast clouds
28,San Andres,CO,12.5847,-81.7006,82.42,69,75,10.36,broken clouds
29,Marystown,CA,47.1666,-55.1483,39.85,100,96,11.99,overcast clouds
30,Hilo,US,19.7297,-155.09,77.25,59,40,5.75,scattered clouds
31,Mataura,NZ,-46.1927,168.8643,59.49,87,34,1.03,scattered clouds
32,Benguela,AO,-12.5763,13.4055,77.4,80,100,5.14,overcast clouds
33,Bubaque,GW,11.2833,-15.8333,78.17,68,14,16.75,few clouds
34,Fort Morgan,US,40.2503,-103.8,44.1,60,0,11.5,clear sky
