City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Vinh,VN,2022-01-27 17:05:38,18.6667,105.6667,69.71,90,12,1.57
1,Ribeira Grande,PT,2022-01-27 17:00:56,38.5167,-28.7,61.2,67,40,9.22
2,Pevek,RU,2022-01-27 17:05:38,69.7008,170.3133,-27.83,100,28,3.02
3,Karla,EE,2022-01-27 17:05:39,59.3723,24.9275,33.76,85,100,8.05
4,Hermanus,ZA,2022-01-27 17:05:39,-34.4187,19.2345,70.9,77,3,9.44
5,Hasaki,JP,2022-01-27 17:05:39,35.7333,140.8333,39.6,59,100,12.01
6,Mataura,NZ,2022-01-27 17:04:10,-46.1927,168.8643,40.48,94,98,2.13
7,Ushuaia,AR,2022-01-27 17:05:40,-54.8,-68.3,49.62,83,100,2.89
8,Porto Novo,BJ,2022-01-27 17:01:52,6.4965,2.6036,84.54,56,88,9.75
9,Norman Wells,CA,2022-01-27 17:05:40,65.282,-126.8329,-5.21,99,100,1.66
10,Columbus,US,2022-01-27 17:05:03,39.9612,-82.9988,29.7,61,100,1.01
11,Bengkulu,ID,2022-01-27 17:05:41,-3.8004,102.2655,77.56,86,100,3.29
12,Yellowknife,CA,2022-01-27 17:01:10,62.456,-114.3525,-14.37,96,30,4.74
13,Port Elizabeth,ZA,2022-01-27 17:05:27,-33.918,25.5701,71.1,85,30,11.3
14,Santarem,BR,2022-01-27 17:01:41,-2.4431,-54.7083,78.46,81,98,3.83
15,Puqi,CN,2022-01-27 17:05:41,29.7167,113.8833,35.04,100,100,3.6
16,Nicoya,CR,2022-01-27 17:05:42,10.1483,-85.452,91.69,25,3,9.31
17,Thompson,CA,2022-01-27 17:05:42,55.7435,-97.8558,-13.79,88,12,7.47
18,Januaria,BR,2022-01-27 17:05:42,-15.4833,-44.3667,86.77,49,13,4.16
19,Kushnarenkovo,RU,2022-01-27 17:05:43,55.105,55.3508,8.98,99,59,4.52
20,Shar,KZ,2022-01-27 17:05:43,49.5886,81.0453,-6.95,95,6,8.19
21,Maldonado,UY,2022-01-27 17:05:43,-34.6667,-54.9167,69.19,51,13,14.23
22,Kita,ML,2022-01-27 17:05:44,13.0349,-9.4895,93.96,7,27,1.36
23,Rikitea,PF,2022-01-27 17:05:44,-23.1203,-134.9692,78.08,77,27,19.24
24,Bambous Virieux,MU,2022-01-27 17:05:44,-20.3428,57.7575,77.25,78,40,6.91
25,Salalah,OM,2022-01-27 17:05:45,17.0151,54.0924,73.49,68,40,3.44
26,Bluff,NZ,2022-01-27 17:05:45,-46.6,168.3333,40.8,77,94,4.43
27,Vaini,TO,2022-01-27 17:04:24,-21.2,-175.2,81.84,80,97,15.61
28,Provideniya,RU,2022-01-27 17:05:45,64.3833,-173.3,-2.27,95,80,1.57
29,Chernyy Yar,RU,2022-01-27 17:05:46,48.0624,46.1091,26.15,97,100,4.45
30,Baykit,RU,2022-01-27 17:05:46,61.67,96.37,-19.05,100,53,1.21
31,Butaritari,KI,2022-01-27 17:04:10,3.0707,172.7902,81.36,79,24,13.96
32,Kloulklubed,PW,2022-01-27 17:05:46,7.0419,134.2556,79.3,80,90,15.39
33,Atuona,PF,2022-01-27 17:05:47,-9.8,-139.0333,77.99,76,23,19.57
34,Busselton,AU,2022-01-27 17:05:47,-33.65,115.3333,59.09,74,0,11.79
35,Huarmey,PE,2022-01-27 17:05:47,-10.0681,-78.1522,76.15,74,82,11.7
36,Chokurdakh,RU,2022-01-27 17:05:48,70.6333,147.9167,-24.57,90,44,13.0
37,Billings,US,2022-01-27 17:04:52,45.7833,-108.5007,35.92,52,20,16.11
38,Caravelas,BR,2022-01-27 17:05:48,-17.7125,-39.2481,85.98,57,100,8.14
39,Bartica,GY,2022-01-27 17:05:49,6.4,-58.6167,82.72,59,90,5.01
40,Tuktoyaktuk,CA,2022-01-27 17:05:49,69.4541,-133.0374,-19.64,100,77,9.04
41,Nome,US,2022-01-27 17:02:46,64.5011,-165.4064,-11.13,64,0,4.61
42,Montrose,US,2022-01-27 17:05:12,38.4166,-108.2673,20.44,58,19,4.47
43,Plouzane,FR,2022-01-27 17:05:49,48.3833,-4.6167,50.32,87,100,4.61
44,Kaoma,ZM,2022-01-27 17:05:50,-14.7833,24.8,66.54,90,88,4.92
45,Faanui,PF,2022-01-27 17:05:50,-16.4833,-151.75,80.6,77,59,16.51
46,Lumeje,AO,2022-01-27 17:05:50,-11.55,20.7833,72.14,73,97,8.3
47,San Patricio,US,2022-01-27 17:04:42,28.017,-97.5169,57.61,66,100,7.36
48,Kununurra,AU,2022-01-27 17:05:51,-15.7667,128.7333,78.78,89,75,3.44
49,Tasiilaq,GL,2022-01-27 17:06:51,65.6145,-37.6368,15.96,94,100,16.33
50,Dikson,RU,2022-01-27 17:06:52,73.5069,80.5464,8.33,93,100,27.6
51,Albany,US,2022-01-27 17:06:52,42.6001,-73.9662,25.81,52,75,1.99
52,Castro,BR,2022-01-27 17:02:30,-24.7911,-50.0119,70.92,93,97,7.05
53,Yakovlevo,RU,2022-01-27 17:06:52,50.8603,36.4478,17.85,100,96,5.53
54,Arraial Do Cabo,BR,2022-01-27 17:06:53,-22.9661,-42.0278,87.66,55,0,17.27
55,Nikolskoye,RU,2022-01-27 17:06:53,59.7035,30.7861,29.71,95,100,7.85
56,Barrow,US,2022-01-27 17:06:53,71.2906,-156.7887,-14.78,76,20,10.36
57,Khatanga,RU,2022-01-27 17:06:54,71.9667,102.5,7.36,81,99,17.81
58,Acapulco,MX,2022-01-27 17:06:31,16.8634,-99.8901,82.22,74,0,6.91
59,Cururupu,BR,2022-01-27 17:06:54,-1.8283,-44.8683,73.06,96,100,3.2
60,Shagonar,RU,2022-01-27 17:06:54,51.5333,92.8,-6.61,98,100,1.77
61,Quesnel,CA,2022-01-27 17:03:31,52.9999,-122.5029,18.37,93,47,6.13
62,Hobart,AU,2022-01-27 17:03:28,-42.8794,147.3294,69.06,76,91,1.01
63,Kapaa,US,2022-01-27 17:06:55,22.0752,-159.319,70.12,81,100,6.91
64,Mackenzie,CA,2022-01-27 17:06:55,55.2999,-123.1698,19.74,99,99,3.53
65,Mana,GF,2022-01-27 17:06:56,5.6592,-53.7767,80.94,67,97,9.33
66,Cabo San Lucas,MX,2022-01-27 17:03:26,22.8909,-109.9124,71.15,49,40,3.44
67,Moranbah,AU,2022-01-27 17:06:56,-22.0016,148.0466,72.37,85,90,11.18
68,Port Alfred,ZA,2022-01-27 17:04:40,-33.5906,26.891,75.42,88,39,9.48
69,Kaitangata,NZ,2022-01-27 17:06:57,-46.2817,169.8464,47.93,86,100,2.62
70,Olinda,BR,2022-01-27 17:06:57,-8.0089,-34.8553,85.73,66,40,11.5
71,Egvekinot,RU,2022-01-27 17:06:57,66.3167,-179.1667,-9.74,96,100,0.92
72,Cape Town,ZA,2022-01-27 17:06:43,-33.9258,18.4232,72.27,64,1,5.01
73,Bathsheba,BB,2022-01-27 17:04:48,13.2167,-59.5167,79.41,73,75,12.66
74,Tuatapere,NZ,2022-01-27 17:05:55,-46.1333,167.6833,40.82,82,100,3.38
75,Palu,ID,2022-01-27 17:02:49,-0.8917,119.8707,75.9,97,100,2.44
76,Qaanaaq,GL,2022-01-27 17:06:58,77.484,-69.3632,-7.11,67,97,6.8
77,Narsaq,GL,2022-01-27 17:06:58,60.9167,-46.05,23.22,76,100,19.42
78,Vardo,NO,2022-01-27 17:06:59,70.3705,31.1107,19.38,79,75,17.27
79,Iqaluit,CA,2022-01-27 17:06:59,63.7506,-68.5145,-9.31,76,100,8.01
80,Avarua,CK,2022-01-27 17:06:59,-21.2078,-159.775,78.85,94,75,11.5
81,Souillac,MU,2022-01-27 17:06:50,-20.5167,57.5167,77.38,78,40,6.91
82,Mehamn,NO,2022-01-27 17:02:42,71.0357,27.8492,26.78,86,20,11.5
83,Puerto Escondido,MX,2022-01-27 17:02:14,15.85,-97.0667,83.98,54,4,6.06
84,Shelburne,CA,2022-01-27 17:07:00,44.0787,-80.2041,19.67,74,100,20.89
85,Sistranda,NO,2022-01-27 17:07:00,63.7256,8.834,40.96,81,100,38.25
86,Talnakh,RU,2022-01-27 17:07:01,69.4865,88.3972,1.29,96,100,16.8
87,Baculin,PH,2022-01-27 17:07:01,7.4525,126.5842,77.16,88,88,5.5
88,Kafue,ZM,2022-01-27 17:07:01,-15.7691,28.1814,67.48,92,100,2.19
89,Victoria,HK,2022-01-27 17:02:10,22.2855,114.1577,68.38,87,7,10.0
90,Hay River,CA,2022-01-27 17:07:02,60.8156,-115.7999,7.07,93,100,4.83
91,Jalu,LY,2022-01-27 17:03:41,29.0331,21.5482,54.25,53,13,7.27
92,Rassvet,RU,2022-01-27 17:07:02,46.8333,40.75,20.32,99,91,9.84
93,Sarh,TD,2022-01-27 17:08:03,9.1429,18.3923,85.23,15,100,4.7
94,Tsogni,GA,2022-01-27 17:08:03,-2.7942,10.0988,78.96,78,72,6.51
95,Westport,US,2022-01-27 17:03:15,41.1415,-73.3579,30.2,55,0,1.01
96,Skjervoy,NO,2022-01-27 17:08:04,70.0311,20.9714,28.58,88,100,4.03
97,Vila Velha,BR,2022-01-27 17:08:04,-20.3297,-40.2925,89.55,68,0,11.99
98,Alofi,NU,2022-01-27 17:08:04,-19.0595,-169.9187,81.55,76,93,17.27
99,Ubinskoye,RU,2022-01-27 17:08:05,55.3068,79.6802,-9.44,100,98,6.71
100,Portel,BR,2022-01-27 17:08:05,-1.9356,-50.8211,87.48,60,72,3.36
101,Punta Arenas,CL,2022-01-27 17:07:15,-53.15,-70.9167,64.42,51,40,25.32
102,Soroti,UG,2022-01-27 17:08:05,1.7146,33.6111,82.51,19,95,11.16
103,Liusha,CN,2022-01-27 17:08:06,27.2098,108.59,30.31,95,100,4.94
104,Bereda,ES,2022-01-27 17:08:06,43.2686,-7.5406,51.55,86,6,4.81
105,Dingle,PH,2022-01-27 17:08:06,10.9995,122.6711,75.65,92,75,6.22
106,Toyooka,JP,2022-01-27 17:08:07,35.5333,134.8333,38.57,86,69,3.2
107,La Sarre,CA,2022-01-27 17:08:07,48.8002,-79.1996,19.26,92,100,14.56
108,Freeport,US,2022-01-27 17:07:56,40.6576,-73.5832,31.96,49,0,3.0
109,Trairi,BR,2022-01-27 17:08:07,-3.2778,-39.2689,82.62,70,76,8.81
110,Tiksi,RU,2022-01-27 17:08:08,71.6872,128.8694,-11.92,97,36,11.14
111,Georgetown,MY,2022-01-27 17:08:08,5.4112,100.3354,82.33,81,20,1.01
112,Grindavik,IS,2022-01-27 17:08:09,63.8424,-22.4338,34.27,93,100,10.36
113,Yulara,AU,2022-01-27 17:08:09,-25.2406,130.9889,75.04,100,100,6.91
114,Pisco,PE,2022-01-27 17:08:09,-13.7,-76.2167,75.25,60,0,25.32
115,Hambantota,LK,2022-01-27 17:08:10,6.1241,81.1185,76.48,72,92,17.78
116,Mananjary,MG,2022-01-27 17:08:10,-21.2167,48.3333,74.66,75,19,5.53
117,Bagli,IN,2022-01-27 17:08:11,22.65,76.35,53.73,41,3,6.31
118,Saint-Georges,GD,2022-01-27 17:08:11,12.0564,-61.7485,78.06,77,43,13.11
119,Yayva,RU,2022-01-27 17:08:11,59.3303,57.2641,8.76,94,100,7.31
120,Faro,PT,2022-01-27 17:05:01,37.0194,-7.9322,62.38,55,20,13.8
121,Guaxupe,BR,2022-01-27 17:08:12,-21.3053,-46.7128,78.58,69,85,4.99
122,Cody,US,2022-01-27 17:08:12,44.5263,-109.0565,27.01,58,0,8.05
123,Bom Jesus,BR,2022-01-27 17:08:13,-9.0744,-44.3586,80.58,75,100,4.0
124,Shepsi,RU,2022-01-27 17:08:13,44.0361,39.1489,34.43,79,89,1.03
125,Buala,SB,2022-01-27 17:08:13,-8.145,159.5921,77.9,87,100,6.89
126,Aswan,EG,2022-01-27 17:08:14,24.0934,32.907,53.11,26,26,11.56
127,Kamaishi,JP,2022-01-27 17:08:14,39.2667,141.8833,30.67,68,4,9.91
128,Ponta Do Sol,PT,2022-01-27 17:04:12,32.6667,-17.1,61.43,74,52,3.76
129,Carnarvon,AU,2022-01-27 17:08:14,-24.8667,113.6333,75.27,83,100,10.36
130,Hilo,US,2022-01-27 17:05:22,19.7297,-155.09,67.62,74,20,9.22
131,Marinette,US,2022-01-27 17:08:15,45.1,-87.6307,29.3,74,100,10.36
132,Mar Del Plata,AR,2022-01-27 17:08:15,-38.0023,-57.5575,68.02,70,40,11.99
133,Pacific Grove,US,2022-01-27 17:09:15,36.6177,-121.9166,59.58,66,0,7.0
134,New Norfolk,AU,2022-01-27 17:09:16,-42.7826,147.0587,68.72,67,96,2.44
135,Leningradskiy,RU,2022-01-27 17:05:22,69.3833,178.4167,-14.57,90,97,1.54
136,Ust-Maya,RU,2022-01-27 17:09:16,60.4167,134.5333,-41.48,100,54,0.85
137,Esperance,AU,2022-01-27 17:09:17,-33.8667,121.9,63.55,83,69,10.25
138,Batagay-Alyta,RU,2022-01-27 17:04:50,67.8006,130.4114,-15.52,90,91,3.91
139,Santa Isabel Do Rio Negro,BR,2022-01-27 17:09:17,-0.4139,-65.0192,85.03,73,47,2.08
140,Port Blair,IN,2022-01-27 17:09:17,11.6667,92.75,79.25,75,11,10.89
141,Christchurch,NZ,2022-01-27 17:08:38,-43.5333,172.6333,55.02,77,100,0.0
142,Saint George,US,2022-01-27 17:05:41,37.1041,-113.5841,46.35,41,0,4.61
143,Klaksvik,FO,2022-01-27 17:09:18,62.2266,-6.589,34.72,71,83,11.25
144,Qixingtai,CN,2022-01-27 17:09:18,30.4135,111.8874,34.75,97,100,12.93
145,Amalapuram,IN,2022-01-27 17:09:18,16.5833,82.0167,69.69,89,3,4.61
146,Coruripe,BR,2022-01-27 17:06:06,-10.1256,-36.1756,85.48,60,21,11.45
147,Malatya,TR,2022-01-27 17:09:19,38.5,38.0,24.85,59,0,16.11
148,Gushi,CN,2022-01-27 17:09:19,34.6425,109.5843,34.34,99,100,0.4
149,Hithadhoo,MV,2022-01-27 17:09:20,-0.6,73.0833,81.57,73,100,17.31
150,Mount Gambier,AU,2022-01-27 17:09:20,-37.8333,140.7667,66.11,88,100,5.75
151,Oktyabrskiy,RU,2022-01-27 17:06:49,54.4815,53.471,5.23,98,92,4.54
152,Moerai,PF,2022-01-27 17:09:21,-22.4333,-151.3333,79.34,80,51,13.22
153,Rocha,UY,2022-01-27 17:06:26,-34.4833,-54.3333,71.11,52,13,14.5
154,Ostrovnoy,RU,2022-01-27 17:09:21,68.0531,39.5131,20.84,90,99,17.18
155,Sur,OM,2022-01-27 17:09:21,22.5667,59.5289,70.07,45,0,4.74
156,Wattegama,LK,2022-01-27 17:09:22,6.7989,81.4808,70.38,83,100,5.57
157,Tondabayashi,JP,2022-01-27 17:09:22,34.5,135.6,40.28,66,20,3.83
158,Bethel,US,2022-01-27 17:05:09,41.3712,-73.414,28.47,51,0,3.0
159,Vao,NC,2022-01-27 17:06:35,-22.6667,167.4833,78.66,84,34,13.69
160,Waiuku,NZ,2022-01-27 17:09:23,-37.25,174.75,65.37,71,8,5.57
161,Palasa,IN,2022-01-27 17:09:23,18.7667,84.4167,66.76,67,43,4.83
162,Kruisfontein,ZA,2022-01-27 17:09:23,-34.0033,24.7314,68.88,86,75,10.07
163,Shimoda,JP,2022-01-27 17:09:24,34.6667,138.95,38.1,69,86,11.23
164,Lebu,CL,2022-01-27 17:09:24,-37.6167,-73.65,66.78,71,3,7.83
165,Puerto Ayora,EC,2022-01-27 17:09:24,-0.7393,-90.3518,80.56,73,88,8.66
